Product Name, Access_Type, Function_Name, Description
GLORYS,PBS,get_glorys_data_with_pbs,Generates PBS script for submission to DERECHO Systems using template pbs script & python glorys requestor
GLORYS,RDA,get_glorys_data_from_rda,"Gathers GLORYS data from Campaign Storage, only 2005 accessible"
GLORYS,CLI,get_glorys_data_script_for_cli,Generates bash script for direct CLI run with the copernicusmarine package
GLOFAS,PYTHON,get_global_GloFAS_data,Call this function with params to directly call the CDSAPI for GLOFAS data.
